Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,99700.000000,102500.000000,98800.000000,101500.000000,88765.609375,1189877
2020-07-07,103000.000000,103500.000000,99200.000000,99200.000000,86754.171875,1379122
2020-07-08,99200.000000,101000.000000,99100.000000,99600.000000,87103.984375,859735
2020-07-09,100000.000000,101000.000000,99600.000000,99600.000000,87103.984375,922604
2020-07-10,99400.000000,99500.000000,98000.000000,98300.000000,85967.085938,1099298
2020-07-13,99200.000000,101500.000000,98500.000000,101500.000000,88765.609375,1376002
2020-07-14,101500.000000,102000.000000,99900.000000,101500.000000,88765.609375,1050563
2020-07-15,104500.000000,110000.000000,104000.000000,109000.000000,95324.656250,4494730
2020-07-16,110500.000000,113000.000000,109000.000000,110000.000000,96199.179688,3254530
2020-07-17,109500.000000,119000.000000,109500.000000,117500.000000,102758.210938,4265529
2020-07-20,119500.000000,125000.000000,118000.000000,121500.000000,106256.367188,4461527
2020-07-21,122000.000000,124500.000000,118000.000000,121500.000000,106256.367188,3138553
2020-07-22,122000.000000,124000.000000,118500.000000,118500.000000,103632.750000,2395083
2020-07-23,118500.000000,125500.000000,116000.000000,124500.000000,108879.976563,4505464
2020-07-24,123500.000000,129000.000000,121500.000000,122500.000000,107130.906250,3908721
2020-07-27,122500.000000,126500.000000,122000.000000,123500.000000,108005.445313,2046059
2020-07-28,124500.000000,126000.000000,122000.000000,123000.000000,107568.171875,1765179
2020-07-29,122500.000000,125500.000000,120000.000000,125000.000000,109317.250000,1897616
2020-07-30,127000.000000,130500.000000,126000.000000,127500.000000,111503.593750,2728427
2020-07-31,128000.000000,129500.000000,125000.000000,126500.000000,110629.046875,1712713
2020-08-03,126500.000000,128500.000000,123500.000000,127000.000000,111066.320313,1868315
2020-08-04,129500.000000,134000.000000,129000.000000,132500.000000,115876.281250,2492506
2020-08-05,133000.000000,135500.000000,132000.000000,134000.000000,117188.085938,1859551
2020-08-06,136500.000000,146000.000000,136000.000000,144500.000000,126370.742188,4040334
2020-08-07,145500.000000,149500.000000,144500.000000,147000.000000,128557.109375,3208082
2020-08-10,151500.000000,172500.000000,151000.000000,170000.000000,148671.437500,8460795
2020-08-11,171500.000000,180500.000000,164500.000000,179000.000000,156542.312500,6776406
2020-08-12,174000.000000,178500.000000,170500.000000,172000.000000,150420.531250,4877139
2020-08-13,175000.000000,177500.000000,167000.000000,170000.000000,148671.437500,3997431
2020-08-14,171000.000000,172000.000000,161000.000000,167000.000000,146047.843750,4469158
2020-08-18,163500.000000,168000.000000,155500.000000,158000.000000,138177.000000,4328953
2020-08-19,158000.000000,165500.000000,158000.000000,164500.000000,143861.500000,3298626
2020-08-20,163000.000000,165500.000000,154000.000000,155000.000000,135553.390625,3630223
2020-08-21,158000.000000,161500.000000,154000.000000,156000.000000,136427.937500,3348383
2020-08-24,157500.000000,163000.000000,152500.000000,161500.000000,141237.890625,2904566
2020-08-25,167500.000000,171000.000000,165000.000000,166000.000000,145173.328125,3304089
2020-08-26,166500.000000,170000.000000,163000.000000,167500.000000,146485.109375,2638394
2020-08-27,169000.000000,169500.000000,163500.000000,163500.000000,142986.953125,2427108
2020-08-28,165500.000000,176500.000000,164500.000000,172000.000000,150420.531250,5571784
2020-08-31,177500.000000,182000.000000,174500.000000,176500.000000,154355.937500,5275614
2020-09-01,178500.000000,181000.000000,175500.000000,180000.000000,157416.843750,2704194
2020-09-02,178000.000000,178500.000000,173500.000000,176000.000000,153918.687500,2825239
2020-09-03,177500.000000,177500.000000,174000.000000,176500.000000,154355.937500,1841550
2020-09-04,167500.000000,174000.000000,167500.000000,172500.000000,150857.828125,2886867
2020-09-07,172500.000000,173000.000000,169000.000000,170000.000000,148671.437500,1516649
2020-09-08,171000.000000,172500.000000,168000.000000,168000.000000,146922.390625,1933504
2020-09-09,166500.000000,172000.000000,165500.000000,167500.000000,146485.109375,1685225
